,tweet_count,tweet_comp_score,tweet_date,tweet_neg_score,tweet_neu_score,tweet_pos_score,tweet_source,tweet_text
0,0,0.5574,Tue Jul 10 07:01:05 +0000 2018,0.073,0.733,0.193,BBC News (World),"RT @SallyBundockBBC: The great escape - if you plan to, tell us how you are going to avoid the #WorldCup semi finals. Will your workplace b…"
1,1,-0.7906,Tue Jul 10 06:58:49 +0000 2018,0.467,0.533,0.0,BBC News (World),Syria war: What we know about Douma 'chemical attack' https://t.co/fh4HXesble
2,2,0.4404,Tue Jul 10 06:12:46 +0000 2018,0.0,0.707,0.293,BBC News (World),World's 'oldest coloured molecules' are bright pink https://t.co/EfG5Z7ZjQu
3,3,0.5106,Tue Jul 10 06:10:20 +0000 2018,0.0,0.732,0.268,BBC News (World),"The latest from the cave rescue in Thailand

https://t.co/Ypxu0yuRvw https://t.co/Q7ld6ykzPd"
4,4,-0.0516,Tue Jul 10 05:41:00 +0000 2018,0.13,0.87,0.0,BBC News (World),Dissident Liu Xiaobo's widow 'allowed to leave China' https://t.co/xJy9jrl6Su
5,5,0.5106,Tue Jul 10 05:40:21 +0000 2018,0.0,0.798,0.202,BBC News (World),"Elon Musk's offer 'not practical' for cave mission, Thai rescue chief says https://t.co/Sc9awbB2XJ https://t.co/CXRy7l4Ia1"
6,6,0.7184,Tue Jul 10 05:15:28 +0000 2018,0.0,0.727,0.273,BBC News (World),"RT @BBCBreaking: #ThailandCaveRescue: Remaining  four boys and coach may be freed today, rescue chief says https://t.co/ZND3yhW6ke

Live up…"
7,7,-0.6705,Tue Jul 10 02:55:20 +0000 2018,0.333,0.667,0.0,BBC News (World),Japan floods: 126 killed after torrential rain and landslides https://t.co/92Wy0Eg6rH
8,8,0.0258,Tue Jul 10 02:47:04 +0000 2018,0.0,0.952,0.048,BBC News (World),RT @SallyBundockBBC: The #WorldCup is down to 4 European countries in the semi finals so who are you backing and why?  #France #Belgium #En…
9,9,-0.4215,Tue Jul 10 02:40:04 +0000 2018,0.237,0.763,0.0,BBC News (World),Australia and NZ recall frozen vegetables over listeria fears https://t.co/rTYQOY6BCK
10,10,0.0,Tue Jul 10 02:25:56 +0000 2018,0.0,1.0,0.0,BBC News (World),"Follow our live #ThailandCaveRescue page for the latest updates https://t.co/Sc9awbB2XJ

And you can also subscribe… https://t.co/uwydn7CMm3"
11,11,0.5574,Tue Jul 10 01:07:55 +0000 2018,0.0,0.66,0.34,BBC News (World),Trump names Kavanaugh for US Supreme Court https://t.co/E8xpUvZ4im
12,12,0.5423,Mon Jul 09 23:33:17 +0000 2018,0.0,0.741,0.259,BBC News (World),Can Ethiopia's Abiy Ahmed make peace with 'Africa's North Korea'? https://t.co/hmJnnVfcmh
13,13,0.0,Mon Jul 09 23:28:17 +0000 2018,0.0,1.0,0.0,BBC News (World),Macedonia: The Balkan country waiting for Nato's invitation https://t.co/HlpfRFLZ0r
14,14,-0.2732,Mon Jul 09 23:11:16 +0000 2018,0.259,0.741,0.0,BBC News (World),Where a six-figure salary is 'low income' https://t.co/NRLpo8VBaK
15,15,0.4404,Mon Jul 09 23:08:26 +0000 2018,0.0,0.707,0.293,BBC News (World),Belgium-France: World Cup clash tests border loyalties https://t.co/EkIUfNT2hE
16,16,0.0,Mon Jul 09 21:44:58 +0000 2018,0.0,1.0,0.0,BBC News (World),Turkey's Erdogan appoints son-in-law as finance minister https://t.co/4qe9mUtJn5
17,17,0.8402,Mon Jul 09 21:42:09 +0000 2018,0.0,0.438,0.562,BBC News (World),Cave rescue: Divers ready to save remaining five Thais https://t.co/ILpHChetTF
18,18,-0.8225,Mon Jul 09 21:34:47 +0000 2018,0.487,0.513,0.0,BBC News (World),Nicaragua unrest: Bishop's anger as people die in clashes https://t.co/x7JY5riHws
19,19,-0.5574,Mon Jul 09 20:58:04 +0000 2018,0.265,0.735,0.0,BBC News (World),Starbucks to ban plastics straws in all stores by 2020 https://t.co/Btj94Fjha3
20,20,0.0,Tue Jul 10 07:03:03 +0000 2018,0.0,1.0,0.0,CBS News,Build-A-Bear Workshop to let age determine cost https://t.co/q7xjNXub0V https://t.co/K4WwuviSXb
21,21,0.3724,Tue Jul 10 06:48:04 +0000 2018,0.0,0.825,0.175,CBS News,Mayor: Officer seen Tasing man sitting on curb won't be suspended https://t.co/AQ161w3Yf0 https://t.co/ZEdhDBBKDt
